Machining is classified as what type of manufacturing process?,Subtractive manufacturing.
"In machining, the unwanted portion of the workpiece is selectively removed in the form of _____.",Chips.
What is the underlying mechanism behind the material removal process in machining?,Plastic deformation of the work material by shearing.
"To shear or cut a material, what is required between the tool and the workpiece?",Relative motion.
What term describes the cutting process where the cutting edge inclination angle is zero?,Orthogonal cutting.
What term describes the cutting process where the cutting edge inclination angle is not zero?,Oblique cutting.
What are the three basic motions needed to cut a workpiece in a turning operation?,"Spindle speed, feed rate, and depth-of-cut."
Spindle speed ($N$) in turning provides which specific type of motion?,Primary motion.
Feed rate ($f$) in turning provides which specific type of motion?,Feed motion.
Depth-of-cut ($d$) adjustment is considered which type of motion in machining?,Secondary motion.
Formula: Axial speed of the tool ($u$) using feed rate ($f$ in $mm/rev$) and spindle speed ($N$ in $rpm$).,$u = \frac{f N}{60 \cdot 1000}$
The axial speed of a tool ($u$) is measured in which SI units?,Metres per second ($m/s$).
What parameter specifies the diametric depth of material to be removed in turning?,Depth-of-cut ($d$).
"In turning, the cutting tool moves along which type of path relative to the workpiece?",A helical path.
Nomenclature: The ratio of undeformed chip thickness ($a_c$) to deformed chip thickness ($a_o$).,Chip ratio ($r_c$).
Why is the chip ratio ($r_c$) always less than unity in practical machining?,Because the deformed chip thickness is always greater than the undeformed thickness.
"In the nomenclature for orthogonal cutting, what does the symbol $\phi$ represent?",Shear angle.
"In the nomenclature for orthogonal cutting, what does the symbol $\gamma_n$ represent?",Normal rake angle.
Name one of the key reasons for measuring and estimating machining forces.,Prediction of tool wear and breakage.
Which force components on the rake surface are created by friction as the chip rubs against the tool?,Friction force ($F_f$).
What is the primary function of the resultant force ($F_r$) acting on the rake surface in the Theory of Lee-Shaffer?,It compresses material in the triangular zone to induce yielding along the shear plane.
What does TLS stand for in the context of machining shear zone models?,Theory of Lee-Shaffer.
The specific cutting energy ($E$) is typically measured in which specific units?,Watts per cubic centimetre per minute ($W/(cm^3/min)$) or $J/mm^3$.
How does the specific cutting energy ($E$) change as the cutting speed ($v$) increases?,It decreases.
How does the specific cutting energy ($E$) change as the undeformed chip thickness ($a_c$) increases?,It decreases.
Which material property related to the presence of lead or sulphur favours machinability?,The existence of soft second-phase particles.
"For different materials, specific cutting energy ($E$) ranges between what magnitudes in GPa?",0.2 GPa to 4.0 GPa.
Which metal typically has a very low specific cutting energy of approximately 0.2 GPa?,Magnesium (Mg) or zinc alloys.
Which type of steel typically exhibits a high specific cutting energy of approximately 4.0 GPa?,Tool steels.
How many specific angles are utilized to define the overall geometry of a single-point cutting tool?,Six angles.
Term: Side rake angle ($\gamma_s$).,Definition: An angle also known as the chip angle that influences turning performance.
"To maximise tool life at a high feed rate, should the side relief angle be larger or smaller?",Smaller.
The secondary shear zone is defined as the region where the chip is in contact with what tool surface?,The rake surface.
Increasing the length of the major cutting edge has what specific effect on heat dissipation?,"It allows generated heat to be more effectively dissipated, improving tool life."
An increase in radial force ($F_{rad}$) during machining typically leads to what dimensional issue?,Poor dimensional accuracy due to radial deflections.
Tool failure can be categorised into which two main types?,Catastrophic failure and gradual (progressive) failure.
What are the two common forms of gradual tool wear?,Crater wear and flank wear.
On which tool surface does crater wear primarily occur?,The rake face.
On which tool surface does flank wear primarily occur?,The flank surface.
Which wear mechanism is primarily responsible for crater wear?,Diffusion or abrasion.
Which wear mechanism is primarily responsible for flank wear?,Abrasion.
A tool-life criterion is defined as a predetermined threshold value of what?,A tool-wear measure or the occurrence of a phenomenon.
What is the standard tool-life criterion for a uniformly worn flank ($VB$) on HSS or Ceramic tools?,$VB = 0.3 \text{ mm}$.
What is the standard tool-life criterion for an irregularly worn flank ($VB_{max}$) on sintered carbide tools?,$VB_{max} = 0.6 \text{ mm}$.
"For sintered carbide tools, what is the life criterion related to crater wear ($KT$)?",$KT = 0.06 + 0.3f \text{ mm}$ (where $f$ is feed).
State Taylor's tool life equation.,$v t^n = C$.
"In Taylor's tool life equation, what does $n$ represent?","The tool life exponent, which depends on tool and work materials."
"In Taylor's tool life equation, what does $C$ represent?","The tool life constant, numerically equal to the cutting speed for a 1-minute tool life."
