What type of atomic bonds are formed by the exchange of valence electrons to create strong atom-to-atom attractions?,Primary bonds.
Identify the three specific categories of primary atomic bonds.,"Ionic, covalent, and metallic bonds."
Which primary bond type relies on the 'Coulomb' effect between positively and negatively charged ions?,Ionic bonds.
Covalent bonds are formed by the _____ of electrons to create directional bonds between atoms.,sharing
Under what condition of electro-negativity are covalent bonds typically formed between atoms?,When atoms have small differences in electro-negativity and are close in the periodic table.
"In metallic bonds, what acts as the 'cement' holding the positively charged ions together?",A free electron cloud.
"Which primary bond type is characterised by high hardness, brittleness, and low electrical conductivity?",Ionic bonds.
Secondary bonds are weak attractions between molecules also known as _____.,van der Waals forces
What are the two types of secondary bonds mentioned in the material?,Permanent dipole bonds and fluctuating dipole bonds.
How does the ductility of metallic bonds typically compare to ionic bonds?,"Metallic bonds are ductile, whereas ionic bonds are brittle."
What is the typical range for the melting temperature of materials with covalent bonds?,Low to very high.
Materials with metallic bonds generally exhibit _____ electrical and thermal conductivity.,high
What does the acronym BCC stand for in crystalline structures?,Body Centred Cubic.
What does the acronym FCC stand for in crystalline structures?,Face Centred Cubic.
What does the acronym HCP stand for in crystalline structures?,Hexagonal Closed Packed.
Name two common metals that exhibit a BCC structure at room temperature.,Iron ($Fe$) and Tungsten ($W$).
Name two common metals that exhibit an FCC structure at room temperature.,Aluminium ($Al$) and Copper ($Cu$).
Name two common metals that exhibit an HCP structure at room temperature.,Magnesium ($Mg$) and Zinc ($Zn$).
"In crystalline materials, what term describes deviations from the regular pattern of the lattice structure?",Imperfections or defects.
What specific type of line defect is responsible for the discrepancy between theoretical and practical material strength?,Dislocations.
How is 'dislocation density' defined in a material?,The total length of dislocation lines inside a unit ($1\ cm^3$) cube.
Compare the typical dislocation density of an annealed material to a cold-worked material.,"Annealed material is $10^4$ to $10^6\ cm/cm^3$, while cold-worked is $10^{10}$ to $10^{12}\ cm/cm^3$."
Practical plastic deformation of metals occurs primarily through the movement of _____.,dislocations
Along which crystallographic planes and directions does the movement of dislocations typically occur?,The most closely packed planes and directions.
How do grain boundaries influence the movement of dislocations?,They act as obstacles to dislocation propagation.
State the Hall-Petch Relationship formula.,$\sigma = \sigma_0 + K_Y d^{-1/2}$
"In the Hall-Petch Relationship, what does the variable $d$ represent?",Average grain size.
"According to the Hall-Petch Relationship, how does decreasing grain size affect yield strength?",It increases the yield strength.
How does grain size generally affect the relationship between strength and ductility?,"Small grains provide good strength but poor ductility, while large grains provide poor strength but good ductility."
What is the relationship between true strain ($\epsilon$) and engineering strain ($\epsilon_{eng}$)?,$\epsilon = \ln(1 + \epsilon_{eng})$
"If a material is strained in three stages ($1, 2, 3$), how is the total true strain calculated?",By the sum of the true strains of each stage: $\sum \epsilon_i$.
Why is true strain considered 'additive' while engineering strain is not?,"True strain is based on the instantaneous length, whereas engineering strain is based on the fixed initial length."
"According to the volume constancy principle in plastic deformation, what is the sum of the true strains in the $x, y,$ and $z$ directions?",$\epsilon_x + \epsilon_y + \epsilon_z = 0$
The power law equation used to model flow stress in the uniform deformation region is _____.,$\sigma_f = K \epsilon^n$
"In the flow stress equation $\sigma_f = K \epsilon^n$, what does the exponent $n$ represent?",The strain-hardening exponent.
What physical phenomenon begins at the point where true strain equals the strain-hardening exponent ($\epsilon = n$)?,Necking (onset of non-uniform deformation).
How is the 'amount of cold-work' ($q$) defined in terms of cross-sectional area?,$q = \frac{A_0 - A}{A_0}$
What is the formula relating true strain ($\epsilon$) to the amount of cold-work ($q$)?,$\epsilon = \ln\left(\frac{1}{1 - q}\right) = -\ln(1 - q)$
